Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2020-12-31,2020Q4,Germany,Non-performing loans ratio (excl. cash balances),1.53,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Germany,Stage 2 loans ratio,9.34,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Loan-to-deposit ratio,97.37,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Total assets,2645.5991,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2020-12-31,2020Q4,Italy,Return on equity (RoE),0.23,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Cost of risk,0.90,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Net interest margin,1.20,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Liquidity coverage ratio,187.02,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,CET1 (Common equity Tier 1) ratio,15.50,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Non-performing loans ratio (excl. cash balances),5.07,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2020-12-31,2020Q4,Italy,Stage 2 loans ratio,13.84,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Loan-to-deposit ratio,106.07,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Total assets,25218.0210,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-03-31,2021Q1,SSM,Return on equity (RoE),7.21,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Cost of risk,0.64,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Net interest margin,1.19,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Liquidity coverage ratio,172.27,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,CET1 (Common equity Tier 1) ratio,15.49,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Non-performing loans ratio (excl. cash balances),3.21,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,SSM,Stage 2 loans ratio,9.23,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Loan-to-deposit ratio,124.08,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Total assets,4453.2280,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-03-31,2021Q1,Germany,Return on equity (RoE),4.84,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Cost of risk,0.28,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Net interest margin,0.87,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Liquidity coverage ratio,163.21,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,CET1 (Common equity Tier 1) ratio,15.44,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Non-performing loans ratio (excl. cash balances),1.47,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Germany,Stage 2 loans ratio,9.52,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Loan-to-deposit ratio,97.59,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Total assets,2706.6021,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-03-31,2021Q1,Italy,Return on equity (RoE),8.18,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Cost of risk,0.58,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Net interest margin,1.14,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Liquidity coverage ratio,193.91,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,CET1 (Common equity Tier 1) ratio,15.51,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Non-performing loans ratio (excl. cash balances),5.07,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-03-31,2021Q1,Italy,Stage 2 loans ratio,13.45,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Loan-to-deposit ratio,104.74,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Total assets,25296.2270,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-06-30,2021Q2,SSM,Return on equity (RoE),6.92,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Cost of risk,0.57,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
